recipient_ein,recipient_name,recipient_city,recipient_state,recipient_country,grantor_ein,grantor_org_name,grantor_dba_name,grantor_city,grantor_state,grantor_zip,tax_year,return_type,period_end,filing_id,cash_amount,noncash_amount,total_amount,purpose
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,311774905,GS DONOR ADVISED PHILANTHROPY FUND,FOR WEALTH MANAGEMENT INC,NEW YORK,NY,10282,2024,990,2024-12-31,202503109349303645_public,1100000,,1100000,EDUCATION
472772048,Learning Policy Institute,Palo Alto,CA,US,821517696,Amalgamated Charitable Foundation Inc,,Washington,DC,20006,2024,990,2024-12-31,202543179349307759_public,47400,0,47400,General operating support
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,237035089,THE NEA FOUNDATION FOR THE IMPROVEMENT,OF EDUCATION,WASHINGTON,DC,20036,2024,990,2025-08-31,202600309349300620_public,35000,0,35000,SPECIAL GRANTS
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2023,990,2024-06-30,202511339349309036_public,3000000,0,3000000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,311774905,GS DONOR ADVISED PHILANTHROPY FUND,FOR WEALTH MANAGEMENT INC,NEW YORK,NY,10282,2023,990,2023-12-31,202413109349303336_public,622400,,622400,EDUCATION
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,260876000,IBIS GROUP,,WASHINGTON,DC,20003,2023,990,2023-12-31,202433179349305383_public,250000,0,250000,EDUCATIONAL GRANT
472772048,Learning Policy Institute,Palo Alto,CA,US,821517696,Amalgamated Charitable Foundation Inc,,Washington,DC,20006,2023,990,2023-12-31,202413159349300006_public,60000,0,60000,General operating support
472772048,Learning Policy Institute,Palo Alto,CA,US,521982223,The Education Trust Inc,,Washington,DC,20005,2023,990,2024-06-30,202500569349301145_public,7000,0,7000,Support
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2022,990,2023-06-30,202401029349300145_public,3000000,0,3000000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,311774905,GOLDMAN SACHS PHILANTHROPY FUND,,NEW YORK,NY,10282,2022,990,2022-12-31,202312859349302266_public,868500,,868500,EDUCATION
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,916013536,SEATTLE FOUNDATION,,SEATTLE,WA,98101,2022,990,2022-12-31,202323149349304782_public,60000,0,60000,TO PROVIDE GENERAL OPERATING SUPPORT FOR THE RAPID RESPONSE DESK FOR EDUCATIONAL EQUITY
472772048,Learning Policy Institute,Palo Alto,CA,US,205205488,Silicon Valley Community Foundation,,Mountain View,CA,94041,2022,990,2022-12-31,202333189349318948_public,50000,,50000,Education
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,521982223,THE EDUCATION TRUST,,WASHINGTON,DC,20005,2022,990,2023-06-30,202410659349300011_public,8000,0,8000,SUPPORT
472772048,Learning Policy Institute,Palo Alto,CA,US,362167000,The Chicago Community Trust,,Chicago,IL,60603,2021,990,2022-09-30,202432279349301703_public,16000000,0,16000000,General operating support
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2021,990,2022-06-30,202320959349300902_public,3500000,0,3500000,GENERAL SUPPORT
472772048,Learning Policy Institute,Palo Alto,CA,US,205205488,Silicon Valley Community Foundation,,Mountain View,CA,940401498,2021,990,2021-12-31,202223199349318287_public,1100000,0,1100000,Education
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,311774905,GOLDMAN SACHS PHILANTHROPY FUND,,NEW YORK,NY,10282,2021,990,2021-12-31,202243089349301314_public,468500,,468500,EDUCATION
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,916013536,SEATTLE FOUNDATION,,SEATTLE,WA,98101,2021,990,2021-12-31,202233199349311048_public,100000,0,100000,EDUCATIONAL EQUITY
472772048,Learning Policy Institute,San Francisco,CA,US,943256009,Californians For Justice Education Fund,,San Jose,CA,95133,2021,990,2021-12-31,202223169349300342_public,75000,0,75000,Regrants - Program services
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2020,990,2021-06-30,202241319349306374_public,3800000,,3800000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2020,990,2021-06-30,202241319349306374_public,3800000,,3800000,GENERAL SUPPORT
472772048,Learning Policy Institure,Palo Alto,CA,US,135562388,SOUTHERN EDUCATION FOUNDATION INC,,ATLANTA,GA,30303,2020,990,2020-12-31,202132999349302133_public,294654,,294654,Program Grant
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,916013536,SEATTLE FOUNDATION,,SEATTLE,WA,98101,2020,990,2020-12-31,202113029349301626_public,100000,,100000,RAPID RESPONSE DESK FOR EDUCATIONAL EQUITY
472772048,Learning Policy Institute,San Francisco,CA,US,943256009,Californians For Justice Education Fund,,San Jose,CA,95133,2020,990,2020-12-31,202112749349300531_public,75000,0,75000,Regrants - Program services
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2019,990,2020-06-30,202141329349304039_public,3800000,,3800000,GENERAL SUPPORT
472772048,Learning Policy Institute,Palo Alto,CA,US,205205488,Silicon Valley Community Foundation,,Mountain View,CA,94040,2019,990,2019-12-31,202003199349301770_public,1650000,,1650000,Education
472772048,Learning Policy Institute,Palo Alto,CA,US,953510055,CALIFORNIA COMMUNITY FOUNDATION,,LOS ANGELES,CA,90012,2019,990,2020-06-30,202101339349302410_public,100000,,100000,Education
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943213100,TIDES CENTER,,SAN FRANCISCO,CA,941290907,2019,990,2019-12-31,202003149349303740_public,35000,,35000,QUALITY EDUCATION
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2018,990,2019-06-30,202021369349303167_public,1500000,,1500000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2018,990,2019-06-30,202021369349303167_public,1500000,,1500000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2018,990,2019-06-30,202021369349303167_public,1000000,,1000000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,841455437,EDUCAUSE,,LOUISVILLE,CO,80027,2018,990,2018-12-31,201932039349300423_public,230000,,230000,COLLEGE READINESS & COMPLETION
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2017,990,2018-06-30,201901339349302285_public,1500000,,1500000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2017,990,2018-06-30,201901339349302285_public,1500000,,1500000,GENERAL SUPPORT
472772048,LEARNING POLICY INSTITUTE,PALO ALTO,CA,US,943147856,SANDLER FOUNDATION,,SAN FRANCISCO,CA,94105,2017,990,2018-06-30,201901339349302285_public,1000000,,1000000,GENERAL SUPPORT
